date,trade_count,turnover,commission,trading_pnl,holding_pnl,total_pnl,net_pnl
2023-07-03,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-04,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-05,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-06,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-07,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-10,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-11,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-12,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-13,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-14,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-17,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-18,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-19,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-20,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-21,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-24,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-25,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-26,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-27,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-28,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-01,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-02,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-03,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-04,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-07,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-08,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-09,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-10,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-11,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-14,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-15,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-16,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-17,0,0.0,0.0,0.0,0.0,0.0,0.0
